Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage
Keito,,"Pune, Maharashtra, India","Artificial Intelligence, Machine Learning, SaaS, Virtual Assistant",Building an Intelligent Digital Assistant.,,,—,Seed
Tolet for Students,,"Jodhpur, Rajasthan, India",Hospitality,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",,,"?5,000,000",Seed
Chai Kings,,"Chennai, Tamil Nadu, India","Food and Beverage, Tea",Chai Kings is a tea retail chain,,,"?20,000,000",Seed
Dainik Jagran,,"Kanpur, Uttar Pradesh, India","Media and Entertainment, News, Outdoors",Dainik Jagran is a media and communications group.,,,"?40,000,000",Seed
Playtoome,,"Bengaluru, Karnataka, India","Broadcasting, Media and Entertainment, Music, Music Streaming, Video, Video Streaming",Playtoome is a live entertainment destination,,,"?20,000,000",Seed
ONGO Framework,,"Hyderabad, Andhra Pradesh, India","B2B, Information Services, Information Technology",ONGO Framework is a B2B IT and digital solution provider.,,,1000000,Angel
Notesgen,,"New Delhi, Delhi, India","EdTech, Education, Enterprise Software, Peer to Peer",A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,,,"?12,500,000",Seed
Arogya MedTech,,"Kolkata, West Bengal, India","Health Care, Medical",Arogya MedTech is a Research & Development organization in Bio-Medical industry.,,,"?15,000,000",Seed
Propshop24,,"Mumbai, Maharashtra, India",E-Commerce,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",,,500000,Seed
myUpchar,,"New Delhi, Delhi, India","Health Care, Hospital, Wellness",To bring health issues to people in their language.,,,5000000,Series A
MissMalini Entertainment,,"Mumbai, Maharashtra, India",—,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",,,"?104,000,000",Seed
Rooter,,"India, Asia",Sports,Rooter is a mobile-based platform,,,"?45,000,000",Seed
ZestMoney,,"Bangalore, Karnataka, India","Big Data, Consumer Lending, FinTech",Zest is India's first completely automated consumer digital lending platform.,,,13400000,Series A
