Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage
iChamp,,"Gurgaon, Haryana, India",E-Learning,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,,,5000000,Seed
Qandle,,"Gurgaon, Haryana, India",Software,A cloud-based HR management and employee engagement platform.,,,1200000,Seed
Avishkaar Box,,"Delhi, Delhi, India","Children, Education, Parenting","Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",,,"?50,000,000",Seed
Gegadyne Energy,,"Mumbai, Maharashtra, India","Automotive, Battery, Energy, Energy Storage",A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,,,—,Angel
HyperXchange,,"Pune, Maharashtra, India","E-Commerce, Mobile, Sharing Economy",hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,,,1000000,Series A
Deftouch,,"Bangalore, Karnataka, India",—,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,,,—,Seed
Doodhwala,,"Bengaluru, Karnataka, India","Food Delivery, Organic, Organic Food",Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,,,2200000,Seed
DronaHQ,,"Mumbai, Maharashtra, India",Mobile,DronaHQ is an enterprise mobile engagement platform.,,,500000,Angel
FastFox,,"Gurgaon, Haryana, India",Rental,FastFox: Market Network for Home Rentals (India),,,"?100,000,000",Series A
BuyForexOnline,,"Bangalore, Karnataka, India",Travel,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,,,2000000,https://docs.google.com/spreadsheets/d/1x9ziNeaz6auNChIHnMI8U6kS7knTr3byy_YBGfQaoUA/edit#gid=1861303593
Colive.in,,"Bangalore, Karnataka, India",Consumer,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,,,1800000,Seed
Agricxlab Private Limited,,"Thane, Maharashtra, India","B2B, Farming, Marketplace",Online marketplace where farmers and traders can sell their produce to B2B buyers,,,500000,Seed
Corefactors,,"Bangalore, Karnataka, India",—,"Corefactors is a leading campaign management, business communication and analytics company.",,,—,Seed
Fincash.com,,"Mumbai, Maharashtra, India",Wealth Management,A startup in the personal finance space in India .,,,150000,Seed
Pandorum Technologies,,"Bengaluru, Karnataka, India",Biotechnology,Bengaluru based biotech startup.,,,3600000,Series A
Shirsa Labs,,"Mumbai, Maharashtra, India","Education, Gaming, Training",Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,,,500000,Seed
PetSutra,,"Gurgaon, Haryana, India",Veterinary,Gurugram-based Online petcare platform.,,,"?9,500,000",Seed
Awaaz De,,"Ahmedabad, Gujarat, India","Internet, Mobile, Social Entrepreneurship, Telecommunications, Wireless",Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,,,—,Angel
PinkBlue,,"Bangalore, Karnataka, India","Health Care, Hospital, Supply Chain Management",PinkBlue.in - Super-efficient supply-chain for clinical supplies,,,300000,Seed
Eduvanz,,"Mumbai, Maharashtra, India","Finance, Financial Services","Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",,,500000,Angel
Rupeek,,"Bangalore, Karnataka, India","Financial Services, Lending",Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,,,6830000,Series A
Backpacker Panda Holidays Private Limited,,"Pune, Maharashtra, India","Tourism, Travel",Backpacker Panda is creating an ecosystem for youth accommodation and travel.,,,1400000,Series A
Shape (School Health and Physical Education),,"Pune, Maharashtra, India",Education,Physical education start up,,,200000,Seed
Placio,,"Noida, Uttar Pradesh, India","Hospitality, Real Estate",Placio is a student housing and a complete broker-free platform.,,,2000000,Seed
Aviom India Housing Finance,,"New Delhi, Delhi, India",Finance,Delhi based housing finance company.,,,"?150,000,000",Series A
GenRobotic,,"Trivandrum, Kerala, India",Market Research,A Robotic Company.,,,—,Seed
HeyHolidays,,"Bangalore, Karnataka, India","Tourism, Travel","HeyHolidays, a global player in online vacation rentals.",,,1000000,Seed
Pratilipi,,"Bengaluru, Karnataka, India","Digital Media, EBooks, Publishing, Reading Apps",Amazon's Kindle Direct Publishing for Indian Languages,,,4300000,Series A
SectorQube,,"Ernakulam, Kerala, India","Consumer Electronics, Embedded Systems, Hardware, Smart Building, Software",SectorQube develops smart kitchen devices that make food automatically.,,,—,Seed
Food Memories,,"Ahmedabad, Gujarat, India","Food and Beverage, Food Processing",Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.,,,—,Seed
ZAMROO,,"India, Asia","Internet, Marketplace, Shopping",Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,,,—,Seed
Silversparro Technologies Pvt. Ltd,,"Gurgaon, Haryana, India","Analytics, Computer Vision, Enterprise Software, Machine Learning, Natural Language Processing, Speech Recognition",Silversparro is a deep learning technology solution provider.,,,300000,Seed
Creator’s Gurukul,,"Gurgaon, Haryana, India",Facilities Support Services,A coworking space provider.,,,—,Angel
Emflux Motors,,"Bengaluru, Karnataka, India","Automotive, Electric Vehicle, Energy",Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,,,364846,Seed
Tricog Health Services Pvt Ltd,,"Bangalore, Karnataka, India","Health Care, Health Diagnostics, Predictive Analytics",Predictive Healthcare Analytics Company,,,4000000,Series A
Scapic,,"Bangalore, Karnataka, India","Cloud Computing, Computer, SaaS, Software",Virtual/Augmented Reality Start Up .,,,500000,Seed
6Degree,,"Mumbai, Maharashtra, India","Fashion, Lifestyle, Retail",A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,,,400000,Seed
Chrysalis (EZ Vidya),,"Chennai, Tamil Nadu, India",Education,Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization,,,—,Seed
Ekincare,,"Hyderabad, Andhra Pradesh, India",Medical,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,,,1500000,Series A
Streo,,"Gurgaon, Haryana, India",Music Streaming,"Live stream music from nightclubs, bars & festivals!",,,—,Seed
Groww,,"Kormangala, Karnataka, India","Finance, Impact Investing, Internet",Groww offers a new way of investing money.,,,120000,Seed
Cell Propulsion,,"Bangalore, Karnataka, India",—,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,,,"?7,000,000",Seed
Chezuba,,"Hyderabad, Andhra Pradesh, India","Internet, Social Entrepreneurship",Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,,,"?1,400,000",Angel
Ontrack Technologies Pvt. Ltd,,"Bangalore, Karnataka, India",Retail,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,,,—,Seed
Wealthtrust,,"Mumbai, Maharashtra, India","Finance, Impact Investing, Mobile Apps",Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,,,500000,Seed
Faclon Labs,,"Mumbai, Maharashtra, India","Cloud Computing, Computer, Software",Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart.,,,—,Seed
Awign Enterprises,,"Bangalore, Karnataka, India","Business Development, Market Research, Outsourcing",Operations and manpower outsourcing startup,,,"?50,000,000",Seed
CollPoll,,"Bangalore, Karnataka, India",Education,World-class Enterprise System for Education.,,,—,Seed
Zyla Health,,"New Delhi, Delhi, India","Health Care, Hospitality",Zyla is transforming the way healthcare is delivered in India with specific focus on high-risk chronic patients.,,,—,Seed
Hubhopper,,"Delhi, Delhi, India","Internet, Social News, Sports",Get your daily dose of interest as summaries from news and magazine stories .,,,500000,Series A
Rubix108 Technologies,,"Pune, Maharashtra, India",Information Technology,Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.,,,1000000,Seed
Workflexi,,"Bangalore, Karnataka, India",Human Resources,"Be Smart, Work on Contract,Be Smart, Hire on Contract",,,"?10,000,000",Seed
Streak,,"Bangalore, Karnataka, India",Financial Services,Algorithmic trading platform.,,,"?22,500,000",Seed
Kuants,,"Gurgaon, Haryana, India",Financial Services,Algorithmic trading platform.,,,"?5,000,000",Seed
NiYO Solutions,,"Bangalore, Karnataka, India","Finance, Financial Services, FinTech",NiYO is a fintech company that helps salaried employees access company benefits and other financial services.,,,13200000,Series A
Hippo Video,,"Chennai, Tamil Nadu, India","Customer Service, Software, Video, Video Streaming",A video recording and sharing software.,,,—,Seed
Satvacart,,"Gurgaon, Haryana, India","E-Commerce, Food Processing",Satvacart is a Gurgaon’s largest online supermarket,,,—,Seed
Daaki,,"Bangalore, Karnataka, India",Health Care,Sports Nutrition startup,,,—,Angel
Simulanis,,"New Delhi, Delhi, India",Training,A Delhi-based Augmented Reality and Virtual Reality technology development company.,,,500000,Seed
MY CHIRAAG CAB,,"Jaipur, Rajasthan, India",Travel,MY CHIRAAG CAB SERVICES PVT LTD,,,1000000,Seed
WOTU,,"Bangalore, Karnataka, India",Food and Beverage,It operates a business-to-business e-commerce portal for food and beverages.,,,—,Seed
Flathalt,,"Gurgaon, Haryana, India",—,FInd your Customized Home here.,,,50000,Angel
True Elements,,"Pune, Maharashtra, India","Dietary Supplements, Food and Beverage, Health Care, Organic Food, Snack Food",True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors.,,,"?50,000,000",Seed
Trendlyne Technologies,,"Bangalore, Karnataka, India",Financial Services,Trendlyne Technologies is a stock market analytics platform and marketplace for retail investors.,,,200000,Seed
Planys Technologies,,"Chennai, Tamil Nadu, India","Manufacturing, Oil and Gas, Robotics",Planys Technologies is India’s first and only manufacturer of compact ROVs providing underwater robotic inspection and survey solutions.,,,"?140,200,000",Series A
HealthPlix,,"Bangalore, Karnataka, India","Fitness, Health Care, Wellness",HealthPlix is a healthtech startup,,,3000000,Series A
dishq,,"Bengaluru, Karnataka, India",—,dishq leverages food science and machine learning (AI) to understand and predict people's tastes.,,,400000,Seed
Entropik Technology,,"Bengaluru, Karnataka, India","Artificial Intelligence, Computer, Machine Learning",The boundaries between Human and Machines are shrinking fast.,,,1100000,Seed
myHQ,,"Delhi, Delhi, India","Collaboration, Communities, Coworking, Sharing Economy",myHQ turns your everyday coffee space into a perfect work zone. Get an amazing work environment without paying any rent.,,,500000,Series A
Trell,,"Bangalore City, Karnataka, India",—,Trell is a location based network which helps you in exploring amazing experiences and annotating places around you.,,,1250000,Seed
Kidovators (by GyanLab),,"Bangalore, Karnataka, India","Big Data, EdTech, Machine Learning",Building future human capital through 21st Century Skills programs for K-12,,,180000,Seed
Log 9 Materials,,"Uttar Pradesh, India, Asia",Nanotechnology,Log 9 Materials is a nano-materials manufacturing and RnD startup,,,"?30,000,000",Seed
VTION,,"Gurgaon, Haryana, India","Analytics, Audio, Digital Media, Innovation Management, Internet Radio, Media and Entertainment",VTION is a media technology innovation firm aiming to solve key problems in the media based ecosystem.,,,"?19,200,000",Seed
HousingMan.com,,"Bengaluru, Karnataka, India",—,"New Apartments, Flats for Sale in Bangalore",,,"?103,000,000",Seed
Steradian Semiconductors,,"Bangalore, Karnataka, India",—,It is a fabless semiconductor company focused on CMOS millimeter wave products for Radar.,,,—,Seed
RupeeCircle,,"Mumbai, Maharashtra, India","Financial Services, Lending, Peer to Peer",RupeeCircle is a new age finance company.,,,"?40,000,000",Seed
Wooden Street,,"Jaipur, Rajasthan, India","E-Commerce, Furniture, Home Decor, Interior Design, Internet",Woodenstreet.com ensures to fulfill customer’s unique furniture requirements by crafting one-of-a-kind furniture pieces.,,,1000000,Series A
The Ken,,"Bengaluru, Karnataka, India",Digital Media,The Ken is India’s first subscriptions-only business news site,,,1500000,Series A
SaffronStays,,"Mumbai, Maharashtra, India",—,SaffronStays connects travellers to India's Incredible hosts.,,,2000000,Seed
Vebbler,,"Bengaluru, Karnataka, India","File Sharing, Personalization, Social Media",A personal network for close people,,,—,Seed
Foyr,,"Pune, Maharashtra, India","Home Decor, Interior Design","Foyr.com is India's first online, automated interior designer",,,4200000,Series A
MEngage,,"Jaipur, Rajasthan, India","Health Care, Medical Device, Mobile Apps",MEngage is a mass consumer engagement application for doctors on both android and IOS platforms.,,,175000,Seed
Inner Being Wellness,,"Hyderabad, Andhra Pradesh, India",—,"Inner Being Wellness manufactures beauty, wellness, and nutrition products.",,,"?35,000,000",Angel
Kobster,,"Chennai, Tamil Nadu, India","E-Commerce, Facilities Support Services, Procurement, Supply Chain Management",Kobster is a pioneer of B2B eProcurement and an eMarketplace providing Corporates an end-to-end solution for their procure-to-pay cycle.,,,—,Seed
Wishberry,,"Mumbai, Maharashtra, India","Crowdfunding, Finance, Financial Services",Wishberry is a rewards-based crowdfunding platform that enables users to raise funds for their creative and innovative ideas.,,,"?100,000,000",Series A
McXtra,,"Andheri, Maharashtra, India","Finance, Financial Services, Insurance",McXtra is a digital insurance broking startup.,,,1300000,Seed
Magic Crate,,"Bangalore, Karnataka, India","Children, Education, Online Portals","Magic Crate is a theme based stimulating, fun and learning activity box for 4-8 year olds that is mailed to your doorstep every month.",,,—,Seed
SmartVizX,,"Noida, Uttar Pradesh, India","Software, Virtual Reality",It is a Virtual Reality Solutions StartUp,,,1450000,Seed
MySEODoc,,"Delhi, Delhi, India",—,"SEO, PPC, Search Engine Marketing, Social Media Optimization, Content Marketing, Brand Reputation Management",,,—,Seed
ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,,"Pune, Maharashtra, India",—,Digital Marketing Agency,,,"?200,000",Seed
Scale Labs,,"Delhi, Delhi, India",—,Scale Labs is a cross border e-commerce solutions provider that drives global trade for brands.,,,1000000,Seed
HungerBox,,"Bengaluru, Karnataka, India","B2B, Food and Beverage, Food Delivery",HungerBox is a full stack B2B F&B technology company delivering food solutions for the corporates in India.,,,4500000,Series A
Biryani By Kilo,,"Noida, Uttar Pradesh, India","Catering, Food and Beverage, Food Delivery, Food Processing",BBK delivers both authentic taste of Hyderabadi and Lucknowi Biryani prepared in individual earthen Handis with the freshest ingredients.,,,1000000,Seed
Wholesome Habits (EAT Anytime),,"Mumbai, Maharashtra, India","Food and Beverage, Snack Food",Wholesome Habits (EAT Anytime) is a healthy snacks Company.,,,500000,Seed
GoBumpr,,"Mylapore, Tamil Nadu, India","Automotive, E-Commerce, Mobile",Car Service and Bike Service Mobile App,,,600000,Seed
Fixpocket,,"Ahmedabad, Gujarat, India","Computer, Digital Marketing, Facilities Support Services, Graphic Design, Internet, Mobile Apps, Social Media Marketing, Web Development",Fixpocket is a internet-based startup.,,,250000,Seed
edureka!,,"Bangalore, Karnataka, India","Android, Big Data, Blockchain, Cloud Computing, EdTech, Education, Information Technology, iOS, Training, Web Development","Edureka is the fastest growing online learning platform that offers live, instructor-led courses for professionals from various industries.",,,2000000,Series A
Hashtag Loyalty Private Limited,,"Mumbai, Maharashtra, India","Analytics, CRM, Loyalty Programs, Machine Learning, Marketing Automation, Retail Technology, SaaS, Small and Medium Businesses",Hashtag Loyalty is a customer engagement and marketing automation tool for local businesses.,,,—,Seed
Wow Express,,"Mumbai, Maharashtra, India","Delivery, Information Technology, Mobile Apps","WOW, as customers react to his studiously taught, trained, polite and courteous nature.",,,4500000,Series A
ZunRoof,,"Gurgaon, Haryana, India","Environmental Consulting, Renewable Energy",ZunRoof is a rooftop focused solar startup.,,,"?16,600,000",Angel
Eggoz,,"Indore, Madhya Pradesh, India","Food and Beverage, Food Processing",Eggoz is a full-stack layer poultry business operator & service provider .,,,"?12,000,000",Angel
Sqrrl Fintech,,"Gurgaon, Haryana, India","Big Data, Business Intelligence, Financial Services, FinTech, Personal Finance",Personal Finance,,,1000000,Seed
GalaxyCard,,"Noida, Uttar Pradesh, India","Finance, Financial Services, FinTech",GalaxyCard is a mobile based Instant credit card.,,,—,Seed
IndiQube,,"Bengaluru, Karnataka, India","Commercial Real Estate, Coworking, Office Administration, Real Estate",IndiQube is a provider of co-working spaces based in Bengaluru.,,,15000000,Series A
EGK Foods,,"Mumbai, Maharashtra, India","Food and Beverage, Food Processing, Organic Food, Snack Food",A food processing enterprise registered with StartUp India .,,,"?20,000,000",Seed
NirogStreet,,"Gurgaon, Haryana, India","Apps, Health Care, Internet, Mobile Apps, Personal Health",NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,,,300000,Seed
Pixr8,,"Ghaziabad, Uttar Pradesh, India","Digital Media, Incubators, Social Entrepreneurship",Pixr8 is a global media platform dedicated to Start-ups and business organisations for promoting entrepreneurship work.,,,50000,Seed
Nivesh.com,,"Noida, Uttar Pradesh, India","Finance, Financial Services, Marketing",Nivesh.com is a mass market mutual funds investment platform.,,,"?30,000,000",Seed
Theranosis Life Sciences,,"Hyderabad, Andhra Pradesh, India","Biotechnology, Health Care, Life Science, Medical Device",A fully functioning cell culture facility and molecular biology setup.,,,—,Seed
Poshmiles Online Solutions Private Limited,,"Bengaluru, Karnataka, India",Travel,Poshmiles aims to help point travellers to long weekend trips at popular and undiscovered destinations based on budget & interest.,,,—,Seed
Reculta,,"Noida, Uttar Pradesh, India","Education, Human Resources",A campus recruitment solution provider.,,,—,Seed
Orbo.ai,,"Mumbai, Maharashtra, India",Internet,Orbo is a computer vision and deep facial technology company.,,,—,Seed
Inntot Technologies,,"Kochi, Kerala, India",Consumer Electronics,"Inntot Technologies, is a technology driven company.",,,—,Seed
Zoctr Health,,"Powai, Assam, India","Apps, Health Care, Hospital, Mobile Apps",Zoctr Health Network is a first-of-its kind pan-India Home & Telehealth Company,,,—,Seed
Hey Deedee,,"Mumbai, Maharashtra, India","Delivery Service, Logistics, Service Industry",Hey Deedee is a Mumbai-based company that provides solutions to parcel delivery problems.,,,"?33,000,000",Seed
DigiConnectt Technologys,,"Bengaluru, Karnataka, India","Information Services, Information Technology",A technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness .,,,125000,Seed
Locus.sh,,"Bangalore, Karnataka, India","Big Data, Data Visualization, Logistics, Software",Locus is an intelligent logistics automation platform.,,,4000000,Series A
Sports Flashes Pvt. Ltd,,"New Delhi, Delhi, India","Basketball, Cricket, Cycling, eSports, Fitness, Golf, Health Care, Hockey, Sports, Swimming, Table Tennis, Volley Ball","Sports Flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more.",,,1000000,Seed
Inc42,,"New Delhi, Delhi, India","Media and Entertainment, News, Publishing",Inc42 is one of the leading tech media publications of India.,,,—,Seed
Picxy,,"Guntur, Andhra Pradesh, India",Internet,"A stock photo startup based in Amravati, Andhra Pradesh.",,,130000,Seed
Huddle,,"Haryana, Haryana, India",Consulting,A coworking incubator Company.,,,300000,Seed
Benepik,,"Gurgaon, Haryana, India",Human Resources,HR Technology start-up.,,,—,Seed
Cash Suvidha,,"New Delhi, Delhi, India",Finance,Cash Suvidha is an Digital Lending Platform that provide working capital finance to SMEs and MSMEs in India.,,,1000000,Seed
Smartcoin,,"Bangalore, Karnataka, India","Big Data, Financial Services, Machine Learning, Predictive Analytics",Providing financial access to the millions of mobile users in India using alternative credit assessment,,,2000000,Seed
Carmel Organics,,"Indore, Madhya Pradesh, India","Agriculture, AgTech, Manufacturing","Carmel Organics is an India-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients.",,,—,Series A
Roadcast,,"New Delhi, Delhi, India",—,Transforming the way businesses deliver. Work-force & fleet mobility tools.,,,250000,Angel
Printline Media(ThePrint),,"New Delhi, Delhi, India","Digital Media, News, Publishing",A digital news platform.,,,"?34,900,000",Seed
Creditas Solutions,,"Gurgaon, Haryana, India",Financial Services,Creditas was set-up in 2015 with an aim to help Financial Institutions find better ways to reach and interact with their customers.,,,—,Seed
UrbanPiper,,"Bengaluru, Karnataka, India",Software,UrbanPiper offers restaurants and chains with a suite of products to manage and analyze their online presence.,,,—,Seed
Doxper,,"Mumbai, Maharashtra, India","Health Care, Hospital",Doxper is Health tech startup which has created a digital pen and coded paper system for doctors to record patient information,,,"?72,000,000",Seed
i2ifunding,,"Noida, Uttar Pradesh, India","Crowdfunding, Finance, Financial Services",i2ifunding is an online marketplace that connects borrowers looking for personal loans with investors looking for alternative investments.,,,"?50,000,000",Angel
ShakeDeal,,"Bangalore, Karnataka, India","B2B, E-Commerce, Enterprise",Home of B2B Commerce,,,—,Seed
HelloVerify,,"Noida, Uttar Pradesh, India","Fraud Detection, Information Services, Security",HelloVerify is an online background check platform.,,,—,Seed
Fasal,,"Bengaluru, Karnataka, India","Agriculture, AgTech, Artificial Intelligence, Internet of Things, Machine Learning",Climate Smart Precision Agriculture Platform,,,120000,Seed
CoinGeto,,"Delhi, Delhi, India","Cryptocurrency, Trading Platform",CoinGeto is one of India’s most advanced digital assets exchange.,,,"?120,000,000",Seed
Avail Finance,,"Bangalore, Karnataka, India","Finance, FinTech, Mobile Payments",Avail is a mobile-first platform aiming to financially include the urban mass of India.,,,17200000,Series A
Tripeur,,"Bengaluru, Karnataka, India",Information Technology,Radical Travel Automation - Cloud Based Corporate Travel & Expense Management Software,,,600000,Seed
Wedeterna,,"Bangalore, Karnataka, India",Wedding,"Wedeterna is a new-age, personalised and fresh approach to arranged marriages, DIY matrimonial community with only self created profiles.",,,—,Angel
Stumagz,,"Hyderabad, Andhra Pradesh, India",Digital Media,Stumagz is about connecting with Stories Stumagz is about collaborating with people Stumagz is about creating a Cult.,,,—,Seed
Doubtnut,,"Gurgaon, Haryana, India","E-Learning, EdTech, Education, Image Recognition, Machine Learning, STEM Education",Gurgaon based E-learning platform.,,,"?35,000,000",Seed
MCaffeine,,"Mumbai, Maharashtra, India",Consumer Goods,MCaffeine is India's First Caffeine Infuse Personal Care Brand. It's an extension to the hyperactive lifestyle and individualistic identity.,,,"?32,000,000",Seed
TrustCheckr,,"Bengaluru, Karnataka, India",Information Technology,A Bengaluru-based fraud analytics solution provider .,,,100000,Angel
HealthAssure,,"Mumbai, Maharashtra, India","Fitness, Health Care, Wellness",HealthAssure provides access to Discounted & High Quality primary care medical network.,,,1000000,Seed
Picture TIme,,"New Delhi, Delhi, India",Digital Entertainment,Operator of low-cost mobile cinema theatres in rural areas.,,,"?250,000,000",Seed
1Crowd,,"Mumbai, Maharashtra, India","Crowdsourcing, Financial Services, Funding Platform, Venture Capital",Equity crowd funding platform focused on connecting investors with a host of extremely promising Indian start-ups and early stage ventures,,,3500000,Angel
Aarav Unmanned Systems,,"Bangalore, Karnataka, India","Delivery, Drones, Geospatial, Robotics",Professional Drones for Enterprise Applications,,,—,Seed
Wellthy Therapeutics Pvt Ltd,,"Mumbai, Maharashtra, India","Health Care, Hospital","Wellthy is a digital therapeutics company focused on improving patient health through the intersection of technology, and clinical outcomes.",,,"?135,000,000",Seed
Nua,,"Mumbai, Maharashtra, India",Consumer Goods,Nua is an e-commerce and feminine care brand platform focused on creating women care products.,,,—,Seed
Kuvera.in,,"Bangalore, Karnataka, India",Financial Services,An online platform for mutual fund investments.,,,250000,Angel
Livehealth,,"Pune, Maharashtra, India","Health Care, Information Technology, Management Information Systems",Livehealth is an end-to-end collaborative report management solution. We help you get your medical reports instantly from various health,,,1100000,Seed
Gramophone,,"Indore, Madhya Pradesh, India",Farming,An agricultural inputs startup Company.,,,1000000,Seed
Ora,,"Kolkata, West Bengal, India","Business Travel, Hospitality, Hotel, Marketplace, Tourism, Travel Accommodations",Ora is an online marketplace of unique accommodations. Awarded as among top 3000 startups in India by IIM Kolkata.,,,—,Seed
Buddy4Study.com,,"Noida, Uttar Pradesh, India","Career Planning, Education, Higher Education, Service Industry",Buddy4Study is the best scholarship search engine for Indian students. It also helps organizations to set up their own scholarship schemes.,,,3000000,Series A
Predible Health,,"Bangalore, Karnataka, India",Medical Device,Healthcare devices for cancer detection,,,—,Seed
Syncremedies Healthcare Pvt Ltd,,"Bangalore, Karnataka, India","Alternative Medicine, Health Care","Syncremedies is an Integrated Medicine service that brings together Allopathy, Ayurveda and Homeopathy to treat chronic ailments.",,,—,Seed
Blueleaf Cyberspace Systems,,"Bangalore, Karnataka, India","Internet, Software",Bluleaf Cyberspace is Cloud Based Software Company.,,,—,Seed
Toffee,,"Gurgaon, Haryana, India",—,"Toffee is a bite size, micro-event & contextual insurtech startup which aims to de-jargonise the insurance buying experience.",,,1500000,Seed
ORO Wealth,,"Mumbai, Maharashtra, India",—,Online wealth management platform,,,1600000,Series A
HealWell24,,"Mumbai, Maharashtra, India","Dental, Elder Care, Health Care, Home Health Care, Personal Health","HealWell24 is India's emerging technology-empowered healthcare company, aiming to bring world-class quality healthcare services anywhere.",,,200000,Seed
Acko General Insurance,,"Mumbai, Maharashtra, India","Financial Services, Insurance, Private Social Networking",Acko General Insurance is a digital insurance company in India that redefines insurance for the consumers.,,,12000000,Series A
arzooo.com,,"Bangalore, Karnataka, India","Consumer Electronics, E-Commerce, E-Commerce Platforms, Electronics, Shipping, Shopping",E-commerce website promising the best price on any product a consumer buys anywhere on the internet.,,,"?15,000,000",Seed
Bonphul Air Products,,"Delhi, Delhi, India",CleanTech,A clean tech product Company,,,"?20,000,000",Angel
DheeYantra Research Labs,,"Bangalore, Karnataka, India",Artificial Intelligence,"DheeYantra is building a cognitive conversational chatbot platform by name ""dhee.ai"" for vernacular languages",,,—,Seed
Edyoo,,"Bengaluru, Karnataka, India",Education,"Edyoo.com is a technology platform that offers the most intuitive design, flexibility, and ease of use.",,,1000000,Seed
Chtrbox,,"Mumbai, Maharashtra, India","Advertising, Internet, Marketing",Chtrbox connects social media influencers with brands .,,,"?10,000,000",Angel
Aashiyaan Housing and Development Finance,,"Kolkata, West Bengal, India",Financial Services,Provide housing finance to those in the informal sector enabling the hither to un-served to own a home of their own.,,,"?135,000,000",Seed
BetterPlace Safety Solutions Pvt. Ltd.,,"Bangalore City, Karnataka, India","Human Resources, Security, Training","BetterPlace provides businesses with contractor workforce management, including onboarding, training, and background checks.",,,3000000,Series A
Cashkumar,,"Bengaluru, Karnataka, India","Consumer Lending, Finance, FinTech",A P2P Lending Platform connecting millions of financially under-served & new to credit borrowers with investment savvy lenders in India,,,"?50,000,000",Seed
Rocketium,,"Bangalore, Karnataka, India","Marketing, Social Media, Video",Easy video creation for social media.,,,"?20,000,000",Seed
FreightBazaar,,"Hyderabad, Andhra Pradesh, India",Transportation,FreightBazaar.com is an online platform that connects Truck suppliers with Truck users.,,,—,Seed
OPEN,,"Bangalore, Karnataka, India",Banking,Open up to a new world of Banking,,,—,Seed
mfine,,"Bengaluru, Karnataka, India","Health Care, Hospital",Hospital & Health Care Start up,,,4200000,Series A
Earth Food,,"Pune, Maharashtra, India","Food and Beverage, Food Processing",Earth Food is a healthy Food Start Up.,,,"?64,000,000",Seed
Charcoal Eats,,"Mumbai, Maharashtra, India",Food Processing,Charcoal Eats aims to bring Dominos style standardisation.,,,"?50,000,000",Seed
Wishfie,,"Bangalore, Karnataka, India",Apps,A platform for people to express their opinions in form of short videos around any topic.,,,—,Seed
The Social Hook,,"Bengaluru, Karnataka, India",Marketing,Fast growing Influencer Marketing platform in India.,,,—,Seed
FreightBro,,"Mumbai, Maharashtra, India","Apps, B2B, Freight Service, Logistics, SaaS, Shipping, Supply Chain Management, Transportation",Software for the new-age freight,,,—,Seed
Finwego,,"Chennai, Tamil Nadu, India",—,Finwego partners with Small and Medium Businesses in India to offer convenient and responsible credit to their employees,,,—,Seed
Cricnwin,,"Gurgaon, Haryana, India","Digital Entertainment, Fantasy Sports, Gaming, Sports",Cricnwin is a Gurugram - based Fan Engagement Platform,,,—,Seed
TheCollegeFever,,"Bangalore, Karnataka, India","Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing","TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",,,250000,Seed
Wicked Ride Adventure Services Private Limited,,"Bangalore, Karnataka, India","Automotive, Last Mile Transportation, Peer to Peer, Ride Sharing",Peer-to-Peer motor vehicles sharing,,,"$10,000,000 ",Venture - Series Unknown
Career Anna,,"Bangalore, Karnataka, India","Commercial, E-Learning, Education",India's Go to Career Commerce Portal,,,"?40,000,000",Seed
